scenario2 noweaken 1
18.27
9.99
25.74
34.62
28.65
21.12
9.85
31.01
28.21
40.54
26.26
13.94
33.47
23.24
20.93
26.51
36.32
38.10
19.60
27.74
10.16
10.82
13.63
20.15
21.00
24.81
14.86
14.86
33.36
32.03
14.34
23.86
31.56
32.59
21.37
19.01
23.05
26.03
33.82
30.82
14.85
24.03
38.72
24.52
28.53
10.60
22.18
35.38
10.30
10.95
23.77
21.04
11.01
19.56
10.26
25.74
9.67
21.13
10.52
19.10
29.14
26.32
23.81
27.33
28.21
14.46
36.80
33.90
24.24
19.53
30.81
25.01
23.91
34.18
10.23
24.48
10.77
38.59
10.21
38.35
10.01
14.34
23.79
27.15
14.85
26.99
10.24
15.03
10.14
32.88
9.88
26.27
26.45
10.42
37.24
18.65
14.76
