scenario2 weaken 1
40.54
24.55
10.13
31.16
27.78
28.86
32.26
14.89
37.21
38.03
30.46
37.41
33.56
28.87
19.26
20.87
35.11
30.85
10.91
21.01
10.15
31.63
14.28
11.03
13.81
31.72
31.80
32.68
32.59
23.65
27.90
34.78
30.06
14.61
21.43
20.91
19.29
10.29
31.99
20.04
10.26
10.03
30.05
15.13
13.73
23.64
32.52
27.06
29.35
31.68
32.13
29.29
28.42
31.58
42.43
36.39
24.36
14.05
10.86
9.54
28.36
21.28
22.12
14.10
31.61
14.50
14.86
14.95
23.25
10.58
30.46
10.48
31.86
37.57
34.28
32.91
32.79
14.83
13.92
32.44
29.14
39.01
41.07
10.36
10.61
44.57
32.17
41.16
31.65
32.85
10.30
38.16
25.57
41.68
10.67
42.44
39.53
