scenario1 weaken -1
70.59
69.62
71.27
70.78
70.08
70.72
69.38
71.02
70.00
70.67
70.87
70.94
70.13
70.47
70.92
71.49
69.52
70.22
71.31
71.16
70.24
70.86
70.77
70.38
69.87
70.03
70.44
70.21
70.16
70.43
70.37
70.51
70.35
70.30
70.39
70.55
69.94
70.29
70.58
69.51
70.61
69.95
70.95
69.89
69.47
71.32
70.01
72.03
71.05
69.74
70.13
70.90
70.45
70.30
69.81
70.44
70.20
69.26
69.85
70.20
70.36
72.35
72.38
73.17
71.23
69.81
70.93
70.42
70.10
69.92
70.48
69.80
70.53
70.36
70.81
69.88
69.28
69.72
69.91
70.60
70.94
69.23
70.94
72.64
71.89
71.69
71.78
72.32
71.38
71.02
70.14
70.33
70.20
71.01
70.79
70.44
70.62
