scenario2 weaken 5
185.51
182.28
198.16
171.69
192.37
213.56
213.91
173.46
219.88
221.98
172.87
211.19
192.42
197.67
204.77
213.72
218.47
166.09
205.47
212.72
165.39
185.53
204.52
220.75
202.17
224.63
163.42
200.18
168.53
202.42
200.30
237.42
191.03
177.51
219.00
227.57
213.98
212.99
205.65
215.37
173.89
189.56
220.38
213.35
228.67
172.24
218.17
179.66
217.30
223.66
218.36
199.92
187.80
211.00
226.49
191.91
221.50
215.34
226.02
212.88
196.16
224.30
203.46
219.40
198.63
198.21
167.35
209.57
215.82
186.92
189.57
189.55
179.17
176.93
216.21
210.49
159.34
223.59
194.16
215.62
178.00
210.07
182.67
224.32
162.52
224.49
224.28
175.51
223.31
194.75
190.57
193.11
206.63
205.18
229.73
193.23
190.20
