scenario2 noweaken 5
181.30
191.40
189.31
189.59
186.01
199.34
140.48
167.49
138.97
170.16
161.76
144.81
196.87
162.69
172.19
153.05
189.93
167.17
164.30
147.34
154.54
194.47
157.96
158.79
157.89
206.13
156.10
187.30
162.30
181.91
187.23
147.48
188.86
169.29
185.55
190.84
151.23
150.28
141.99
157.43
168.50
192.54
189.23
149.28
191.77
165.40
184.02
197.31
180.30
171.74
151.00
166.97
172.10
199.54
160.72
167.64
195.81
163.21
187.15
167.40
167.81
194.99
140.65
189.44
177.50
150.06
185.36
138.47
199.89
205.27
145.41
169.48
193.89
141.31
150.36
211.94
190.02
197.71
194.76
162.61
142.67
156.96
190.63
189.65
177.78
158.17
146.59
169.18
183.26
185.95
184.96
176.63
195.81
184.44
167.57
155.92
186.43
