scenario1 noweaken 1
8.40
6.71
8.42
6.73
6.64
6.75
6.65
8.41
9.81
9.72
7.99
6.66
9.82
6.77
6.67
8.41
8.51
9.67
6.65
8.31
8.44
6.70
6.67
9.85
8.43
6.63
6.69
6.68
6.64
6.68
9.52
9.72
6.57
6.77
8.39
6.61
6.51
7.92
8.42
6.66
6.69
8.55
8.36
8.46
6.71
6.66
8.40
8.48
6.62
8.05
6.70
6.66
6.71
6.57
7.95
6.67
8.45
6.69
8.37
6.62
6.64
6.71
6.74
6.73
6.68
7.86
8.47
7.94
8.52
8.51
8.46
9.73
7.94
6.68
6.59
7.96
6.60
6.66
6.74
6.62
7.93
8.31
6.60
8.51
7.99
7.92
6.62
7.96
8.58
6.65
6.66
6.64
6.73
8.43
6.69
6.65
6.63
